n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size,chromatic_number_norm,clique_number_norm,max_independent_set_size_norm,domination_number_norm,min_clique_cover_size_norm,chromatic_to_clique_ratio,chromatic_to_max_independent_ratio,clique_to_max_independent_ratio,domination_to_clique_ratio,min_clique_cover_to_chromatic_ratio,n_bin_medium,n_bin_large
250,0,99,88,5,193,7,0.396,0.352,0.02,0.772,0.028,1.125,19.8,17.6,2.1931818181818183,0.0707070707070707,True,False
300,0,116,115,6,236,7,0.38666666666666666,0.38333333333333336,0.02,0.7866666666666666,0.023333333333333334,1.008695652173913,19.333333333333332,19.166666666666668,2.0521739130434784,0.0603448275862069,True,False
300,1,128,109,4,139,5,0.4266666666666667,0.36333333333333334,0.013333333333333334,0.4633333333333333,0.016666666666666666,1.1743119266055047,32.0,27.25,1.275229357798165,0.0390625,True,False
25,1,15,10,3,12,4,0.6,0.4,0.12,0.48,0.16,1.5,5.0,3.3333333333333335,1.2,0.26666666666666666,False,False
500,1,227,198,5,401,6,0.454,0.396,0.01,0.802,0.012,1.1464646464646464,45.4,39.6,2.025252525252525,0.02643171806167401,False,True
300,0,102,85,6,290,7,0.34,0.2833333333333333,0.02,0.9666666666666667,0.023333333333333334,1.2,17.0,14.166666666666666,3.411764705882353,0.06862745098039216,True,False
400,1,177,168,4,300,6,0.4425,0.42,0.01,0.75,0.015,1.0535714285714286,44.25,42.0,1.7857142857142858,0.03389830508474576,False,True
200,0,82,78,5,148,6,0.41,0.39,0.025,0.74,0.03,1.0512820512820513,16.4,15.6,1.8974358974358974,0.07317073170731707,True,False
250,1,108,103,5,190,5,0.432,0.412,0.02,0.76,0.02,1.0485436893203883,21.6,20.6,1.8446601941747574,0.046296296296296294,True,False
300,0,115,87,4,231,6,0.38333333333333336,0.29,0.013333333333333334,0.77,0.02,1.3218390804597702,28.75,21.75,2.6551724137931036,0.05217391304347826,True,False
25,0,10,9,4,22,5,0.4,0.36,0.16,0.88,0.2,1.1111111111111112,2.5,2.25,2.4444444444444446,0.5,False,False
100,0,40,28,4,69,6,0.4,0.28,0.04,0.69,0.06,1.4285714285714286,10.0,7.0,2.4642857142857144,0.15,False,False
300,0,106,90,4,246,6,0.35333333333333333,0.3,0.013333333333333334,0.82,0.02,1.1777777777777778,26.5,22.5,2.7333333333333334,0.05660377358490566,True,False
50,0,23,16,3,24,4,0.46,0.32,0.06,0.48,0.08,1.4375,7.666666666666667,5.333333333333333,1.5,0.17391304347826086,False,False
150,0,62,50,5,74,5,0.41333333333333333,0.3333333333333333,0.03333333333333333,0.49333333333333335,0.03333333333333333,1.24,12.4,10.0,1.48,0.08064516129032258,True,False
300,0,110,96,5,253,7,0.36666666666666664,0.32,0.016666666666666666,0.8433333333333334,0.023333333333333334,1.1458333333333333,22.0,19.2,2.6354166666666665,0.06363636363636363,True,False
300,1,128,91,4,120,5,0.4266666666666667,0.30333333333333334,0.013333333333333334,0.4,0.016666666666666666,1.4065934065934067,32.0,22.75,1.3186813186813187,0.0390625,True,False
50,0,22,21,4,35,5,0.44,0.42,0.08,0.7,0.1,1.0476190476190477,5.5,5.25,1.6666666666666667,0.22727272727272727,False,False
350,1,159,129,6,331,6,0.4542857142857143,0.36857142857142855,0.017142857142857144,0.9457142857142857,0.017142857142857144,1.2325581395348837,26.5,21.5,2.565891472868217,0.03773584905660377,False,True
150,0,55,47,5,145,7,0.36666666666666664,0.31333333333333335,0.03333333333333333,0.9666666666666667,0.04666666666666667,1.1702127659574468,11.0,9.4,3.0851063829787235,0.12727272727272726,True,False
