n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size
25,1,12,9,4,22,5
100,0,37,37,5,66,8
350,0,124,124,11,343,13
100,0,40,40,8,98,10
500,0,150,146,10,496,12
450,1,226,212,11,441,13
350,1,163,150,14,343,15
300,0,107,105,11,291,13
350,0,103,99,12,346,14
25,0,14,11,6,24,6
400,1,183,170,12,396,15
50,0,17,15,8,39,9
50,1,24,24,9,48,9
450,1,210,200,10,439,13
400,0,122,122,11,380,14
350,1,164,153,10,333,13
300,1,147,140,10,295,12
500,1,249,205,11,492,13
300,1,145,132,10,290,12
150,0,47,47,9,144,11
450,0,141,141,11,440,13
300,0,112,112,10,291,12
300,1,152,114,10,293,10
150,1,70,63,8,144,9
100,1,45,41,10,96,11
250,0,78,77,11,242,12
200,0,74,73,7,165,10
450,1,205,196,13,449,14
400,0,115,115,11,396,14
50,1,19,16,5,44,7
300,0,114,113,10,293,13
450,1,213,212,14,448,18
500,1,226,218,9,458,12
500,0,147,143,11,491,14
250,0,82,82,11,240,13
300,1,136,128,9,267,12
200,0,72,72,11,189,14
450,0,140,126,11,441,13
450,1,211,199,14,449,16
500,0,151,146,12,490,15
25,1,12,12,6,21,6
200,0,65,65,9,191,11
50,1,28,25,5,42,6
450,0,142,135,9,430,12
350,0,110,105,9,343,11
50,0,25,25,5,45,7
100,1,49,44,9,98,11
400,0,136,134,11,392,14
500,0,165,163,11,490,14
300,0,89,87,11,299,14
250,0,75,74,12,242,13
350,1,155,150,12,341,13
250,0,75,74,11,241,14
200,1,87,83,7,194,9
50,1,29,29,5,46,7
150,1,83,83,8,147,10
200,0,55,54,10,192,11
300,0,106,103,12,300,13
350,0,105,105,11,343,14
500,1,237,227,10,493,13
250,1,119,111,11,241,12
200,1,97,97,10,197,10
50,0,22,21,8,44,9
100,1,46,43,8,99,9
250,1,120,111,10,242,12
400,1,182,176,10,377,12
450,0,141,141,9,426,12
300,0,96,96,10,282,13
300,0,102,97,11,290,13
500,0,167,167,12,497,16
100,0,36,33,8,68,9
500,1,224,213,9,492,12
50,0,13,13,7,43,9
150,1,67,57,10,149,12
200,0,69,66,10,191,11
450,0,147,142,10,421,12
400,0,120,119,12,391,14
200,0,63,61,9,194,12
100,0,40,40,8,82,10
450,1,194,191,15,445,17
400,0,122,121,12,390,14
25,1,15,13,3,18,4
450,1,209,205,10,440,13
350,1,150,138,11,347,13
250,0,88,88,10,241,12
100,1,45,41,7,95,9
250,1,120,102,12,247,13
200,0,69,69,11,192,14
500,0,149,145,13,490,15
450,0,142,136,12,444,14
250,1,108,106,11,240,13
400,0,143,126,13,389,15
350,0,121,121,10,342,13
150,1,70,60,10,146,12
100,0,34,34,9,100,10
150,0,48,48,10,148,12
25,0,11,10,4,22,5
250,1,119,82,11,244,13
100,0,36,36,10,94,13
100,0,36,35,8,94,10
150,0,54,49,8,144,11
200,1,103,86,9,195,10
300,0,87,87,12,292,14
50,1,20,17,7,45,7
200,0,72,72,10,193,12
250,1,111,97,11,243,13
500,1,208,199,12,492,13
100,1,51,50,8,96,9
25,1,8,8,5,22,6
100,1,44,40,8,84,9
50,0,21,17,6,45,6
400,0,124,124,11,392,14
300,1,146,105,9,294,11
150,1,80,80,9,144,10
250,0,85,85,10,230,13
350,1,160,147,9,348,12
200,0,64,64,11,194,13
300,1,136,123,11,292,12
400,0,131,131,11,381,13
350,0,124,123,11,346,13
250,1,113,100,12,247,13
25,0,10,9,6,20,7
200,0,59,54,9,191,12
350,0,120,118,12,346,14
250,1,123,112,10,232,11
50,0,17,17,6,35,7
50,1,24,22,6,47,7
150,0,41,41,9,142,11
300,1,157,109,9,294,11
400,1,190,177,11,395,13
50,1,20,19,5,47,6
150,0,43,43,10,141,11
50,1,21,21,9,47,9
450,1,210,205,15,446,17
50,0,25,20,5,40,7
100,1,41,41,5,89,7
150,0,54,50,9,135,11
500,1,217,208,13,494,15
450,0,147,139,12,440,15
450,0,154,136,11,442,13
25,0,9,9,5,23,5
25,1,11,11,4,22,5
350,0,127,127,11,332,12
25,0,8,7,6,18,6
300,0,97,97,11,290,14
100,0,26,25,8,93,9
50,0,18,17,5,42,6
200,1,102,93,10,194,11
200,1,97,84,11,196,12
150,1,70,67,10,147,12
250,0,80,80,9,249,13
450,0,144,144,12,442,14
350,0,116,116,11,342,13
50,0,16,16,7,44,8
25,0,9,8,7,21,7
450,1,201,192,11,442,13
200,0,68,63,9,177,11
200,1,84,75,9,192,11
100,1,44,40,8,94,9
200,0,65,65,10,192,12
400,0,126,125,11,395,12
200,1,99,98,8,194,10
100,0,29,26,7,82,11
300,1,131,125,13,291,15
25,0,11,9,6,17,6
100,1,53,46,9,98,10
50,1,23,21,6,46,6
50,0,15,15,10,48,10
500,0,149,145,12,493,15
100,1,41,40,7,95,9
450,0,142,139,13,441,14
300,0,83,79,11,291,13
300,1,134,134,12,294,13
400,0,118,113,12,393,15
150,1,68,65,9,145,11
25,1,13,13,3,9,3
25,1,12,12,5,22,6
300,0,81,81,9,271,12
450,1,211,199,12,449,15
50,1,25,23,6,50,6
250,1,117,97,11,243,13
500,1,223,218,12,490,15
100,1,43,40,6,96,8
25,0,10,7,6,21,6
50,1,28,27,5,46,6
250,1,121,116,11,245,14
25,0,10,10,5,24,6
25,1,10,8,6,17,6
400,0,129,125,9,391,12
400,1,184,176,12,394,14
200,1,90,89,9,197,12
500,0,161,156,11,482,14
500,1,225,222,11,491,14
150,1,55,51,8,144,10
500,1,235,215,13,493,14
500,1,214,202,13,491,15
100,0,30,28,9,98,11
450,0,143,143,11,433,13
450,1,220,192,13,442,16
100,0,34,33,9,98,10
100,0,27,27,10,94,11
150,1,67,64,10,148,12
200,0,61,61,12,193,14
150,0,49,43,8,124,10
350,0,108,108,14,347,16
25,0,10,8,5,17,5
300,1,150,149,10,291,14
450,1,194,180,12,440,14
100,1,45,42,8,98,9
200,0,61,61,9,194,11
250,0,75,69,9,228,11
400,0,132,130,13,394,15
100,0,32,32,9,98,10
25,0,8,8,7,19,7
100,0,31,24,11,96,12
25,1,13,13,4,21,5
100,1,52,52,7,99,8
100,0,37,35,10,98,11
250,0,94,93,10,243,13
300,0,92,91,11,295,14
450,0,129,129,13,443,15
500,1,219,210,11,492,14
250,0,83,82,10,243,12
350,0,121,121,11,345,14
450,1,199,190,11,442,14
100,0,34,26,8,85,10
200,0,60,57,10,190,13
450,1,221,199,15,444,16
500,0,144,143,11,469,13
50,0,15,14,8,48,9
250,1,124,116,9,242,11
500,0,149,149,12,490,15
300,1,148,122,10,292,11
50,1,29,24,4,50,6
400,1,181,160,10,391,13
450,0,133,129,13,446,16
500,0,172,170,12,489,14
100,1,42,40,8,100,9
400,1,175,168,12,395,13
350,1,157,152,12,348,14
25,0,8,6,6,15,6
150,0,49,41,9,146,11
100,1,48,47,6,80,7
200,0,71,71,11,195,14
450,0,154,154,12,442,15
25,0,14,8,6,25,7
50,0,15,14,7,47,9
400,0,155,154,11,391,15
25,0,9,6,5,17,6
100,0,32,31,8,86,10
500,0,151,151,11,478,14
200,0,63,63,10,195,12
350,0,92,90,10,343,12
300,1,115,104,11,293,13
450,0,141,137,12,439,14
250,0,79,79,10,243,14
350,1,164,157,13,349,16
100,0,43,43,7,93,8
500,1,244,222,10,489,13
25,0,10,8,5,25,7
150,0,52,52,9,132,12
150,1,66,56,9,143,10
450,1,196,164,13,440,16
300,1,143,122,9,294,11
300,0,104,101,11,298,12
350,1,161,156,10,342,13
300,0,90,89,12,280,13
350,0,117,117,12,343,14
500,0,146,146,12,495,15
450,0,145,145,12,430,15
400,1,190,183,14,394,15
250,0,78,73,9,226,13
100,0,30,30,10,97,11
100,1,52,51,6,83,7
350,0,125,124,12,341,14
450,1,200,195,13,442,14
150,1,72,63,8,132,9
25,0,11,10,8,25,8
500,1,231,215,10,495,12
400,1,196,155,10,381,12
400,1,180,171,13,400,15
50,1,31,28,5,45,7
25,0,7,6,7,22,7
450,0,140,137,11,440,14
25,1,10,10,6,21,7
25,0,11,11,6,24,7
25,0,8,8,5,20,7
500,1,238,231,14,494,15
100,1,48,43,9,98,9
50,0,19,19,7,42,9
500,1,221,208,12,497,14
300,0,102,102,12,298,15
100,1,44,43,8,98,9
150,1,72,60,9,143,9
450,1,200,191,12,443,16
450,0,132,132,12,424,13
400,0,116,116,11,394,13
25,0,7,6,7,21,7
400,1,178,166,11,391,12
25,1,9,8,6,21,7
500,1,231,218,14,500,17
450,1,221,199,13,439,14
450,1,198,192,12,444,14
200,0,70,69,11,190,13
300,1,132,120,12,296,16
25,0,10,6,6,18,6
150,1,76,68,10,143,11
450,1,208,186,12,446,14
350,1,158,150,10,342,13
250,0,80,80,11,233,13
100,1,43,43,11,99,11
150,1,73,64,8,146,9
50,1,22,19,7,48,8
500,0,153,153,10,483,12
400,1,195,183,10,393,12
350,0,123,123,14,342,15
200,0,62,62,11,193,14
200,1,91,89,9,194,11
500,1,220,195,11,493,14
400,0,131,129,10,372,12
250,1,127,119,11,242,12
350,0,107,106,12,340,14
200,1,97,85,10,196,11
350,0,119,117,11,343,13
450,1,219,217,11,444,14
250,0,76,76,9,243,14
350,1,176,120,8,334,11
50,1,26,24,5,43,6
150,0,47,46,8,143,11
350,1,165,138,9,341,12
50,1,28,21,5,46,6
100,0,34,34,10,93,12
