n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size
250,0,92,82,5,231,6
300,1,134,100,4,183,5
200,0,74,62,6,196,8
450,0,172,150,5,355,6
450,1,191,182,6,389,6
500,0,156,146,6,465,8
25,1,10,10,3,7,3
200,0,68,62,5,140,6
50,1,23,15,4,23,4
450,0,163,136,6,448,7
350,0,126,121,6,314,7
50,0,18,15,4,38,5
100,1,50,38,4,47,4
400,0,146,121,5,376,7
500,0,169,137,6,405,7
300,0,104,88,4,253,6
250,0,95,79,5,222,7
350,1,159,138,5,350,6
250,0,98,85,5,144,6
200,1,92,72,4,160,5
50,1,22,19,3,20,4
150,1,75,61,4,125,5
200,0,78,75,5,196,6
300,0,108,108,4,221,6
350,0,152,124,6,335,7
500,1,214,168,5,486,6
250,1,102,93,3,164,5
200,1,91,76,5,161,6
50,0,20,18,4,43,5
100,1,48,42,4,53,5
250,1,111,102,5,226,6
400,1,161,145,5,335,6
450,0,149,144,6,336,7
300,0,113,89,5,240,6
300,0,111,100,6,220,7
500,0,188,148,6,371,7
100,0,44,29,4,68,5
500,1,219,183,5,416,6
50,0,22,16,5,49,6
150,1,62,53,5,53,5
200,0,76,67,5,167,6
450,0,161,127,5,340,7
400,0,145,114,5,296,7
200,0,82,65,5,182,6
100,0,35,30,4,33,5
450,1,195,183,4,411,6
400,0,129,126,4,326,7
25,1,14,11,3,10,3
450,1,202,141,5,436,6
350,1,159,157,4,323,6
250,0,93,81,6,212,7
100,1,41,39,4,77,5
250,1,117,97,4,194,5
200,0,76,64,4,162,6
500,0,184,162,7,483,8
450,0,161,154,5,364,7
250,1,108,94,4,111,5
400,0,145,142,5,276,7
350,0,145,134,5,225,6
150,1,69,63,5,122,5
100,0,45,37,5,60,5
150,0,65,42,5,141,6
25,0,15,14,3,13,4
250,1,96,82,6,205,6
100,0,38,35,4,84,5
100,0,42,35,4,37,4
150,0,52,46,4,107,6
200,1,101,100,5,184,6
300,0,118,95,6,290,7
50,1,24,17,3,27,4
200,0,75,60,5,158,6
250,1,115,96,5,197,6
500,1,234,205,4,438,5
100,1,51,44,3,54,4
25,1,11,8,4,8,4
100,1,49,42,4,47,4
50,0,23,18,3,24,4
400,0,146,127,5,358,7
300,1,132,98,4,261,6
150,1,68,53,4,121,6
250,0,93,85,4,198,6
350,1,148,133,5,295,6
200,0,80,68,6,190,7
300,1,138,131,5,249,6
400,0,138,120,5,396,7
350,0,134,100,5,247,7
250,1,109,86,4,120,5
25,0,10,7,4,10,5
200,0,80,69,5,126,5
350,0,115,106,6,285,7
250,1,105,93,5,203,6
50,0,20,16,5,49,6
50,1,24,17,4,47,5
150,0,60,47,5,116,6
300,1,133,133,4,223,5
400,1,166,155,5,314,5
50,1,30,24,4,33,5
150,0,60,56,5,150,7
50,1,22,17,4,34,5
450,1,188,168,4,205,5
50,0,20,18,4,14,5
100,1,47,29,5,96,6
150,0,58,50,6,119,7
500,1,235,214,5,394,6
450,0,163,145,6,436,7
450,0,168,145,5,334,7
25,0,13,11,4,24,4
25,1,14,14,3,23,4
350,0,135,114,5,321,7
25,0,11,9,4,20,5
300,0,117,113,5,247,7
100,0,46,39,5,77,6
50,0,23,17,4,37,5
200,1,82,58,5,144,6
200,1,91,76,4,88,5
150,1,75,70,4,76,5
250,0,89,73,7,243,8
450,0,161,148,5,427,7
350,0,134,119,7,345,8
50,0,22,17,5,46,6
25,0,14,9,3,17,5
450,1,186,181,4,371,6
200,0,79,79,5,148,6
200,1,81,71,5,139,6
100,1,39,34,4,66,5
200,0,76,72,4,170,6
400,0,147,132,5,386,6
200,1,86,72,4,169,6
100,0,44,31,4,46,5
300,1,139,97,3,142,5
25,0,10,7,4,23,5
100,1,48,46,4,84,5
50,1,21,20,3,43,4
50,0,22,16,3,14,4
500,0,172,156,6,476,7
100,1,45,42,5,68,6
450,0,172,137,6,434,7
300,0,101,87,4,225,6
300,1,128,105,4,244,6
400,0,148,123,6,302,7
150,1,64,58,4,118,5
